bay_id,st_marker_id,status,location,lat,lon
4002,C6040,Unoccupied,"(-37.806146545613586, 144.95208866844425)",-37.806146545613586,144.95208866844425
3046,5149W,Unoccupied,"(-37.80280546182864, 144.95685528863962)",-37.80280546182864,144.95685528863962
5390,11746E,Unoccupied,"(-37.81025046161003, 144.97566700300655)",-37.81025046161003,144.97566700300655
1532,1896N,Present,"(-37.81375871902004, 144.97217176465608)",-37.81375871902004,144.97217176465608
9000,C7814,Unoccupied,"(-37.8255897260822, 144.97102234998545)",-37.8255897260822,144.97102234998545
3838,C5552,Unoccupied,"(-37.80656093303304, 144.95403448215598)",-37.80656093303304,144.95403448215598
4000,C6036,Unoccupied,"(-37.806192927601, 144.95208034212433)",-37.806192927601,144.95208034212433
5514,11961W,Unoccupied,"(-37.814788281680734, 144.9826884775059)",-37.814788281680734,144.9826884775059
5028,9500N,Unoccupied,"(-37.82844959256275, 144.96680804737142)",-37.82844959256275,144.96680804737142
4008,C6054,Unoccupied,"(-37.805980641706356, 144.9521184505153)",-37.805980641706356,144.9521184505153
6747,6625S,Unoccupied,"(-37.808520094652366, 144.95954463796903)",-37.808520094652366,144.95954463796903
8122,15144N,Present,"(-37.81669407791513, 144.98171485993547)",-37.81669407791513,144.98171485993547
6064,13050N,Unoccupied,"(-37.82104865070899, 144.94339949099586)",-37.82104865070899,144.94339949099586
5423,11797W,Present,"(-37.81101113051285, 144.97546868544407)",-37.81101113051285,144.97546868544407
5451,11854E,Present,"(-37.8126522189701, 144.97796646250606)",-37.8126522189701,144.97796646250606
8984,7907W,Unoccupied,"(-37.824304359625735, 144.97029576158002)",-37.824304359625735,144.97029576158002
5015,9447S,Unoccupied,"(-37.830244231466125, 144.96597270863515)",-37.830244231466125,144.96597270863515
3694,7656N,Unoccupied,"(-37.80497846789832, 144.956914516136)",-37.80497846789832,144.956914516136
6744,6619S,Present,"(-37.808463852302836, 144.95974035586147)",-37.808463852302836,144.95974035586147
5727,12408N,Unoccupied,"(-37.810771427274034, 144.97681376619752)",-37.810771427274034,144.97681376619752
3348,6032E,Present,"(-37.80648440390729, 144.95214642968898)",-37.80648440390729,144.95214642968898
5011,9443S,Unoccupied,"(-37.830222665972336, 144.96604735511164)",-37.830222665972336,144.96604735511164
5539,12011W,Unoccupied,"(-37.81339430386741, 144.98292717261975)",-37.81339430386741,144.98292717261975
7959,15006E,Unoccupied,"(-37.817088368703665, 144.98206749738844)",-37.817088368703665,144.98206749738844
5527,11987W,Unoccupied,"(-37.81411708650631, 144.98280290190883)",-37.81411708650631,144.98280290190883
5362,8905W,Unoccupied,"(-37.82405864585421, 144.96216148541197)",-37.82405864585421,144.96216148541197
5520,11973W,Unoccupied,"(-37.81447883560203, 144.98274136235005)",-37.81447883560203,144.98274136235005
5521,11975W,Unoccupied,"(-37.81442711693971, 144.98275030591668)",-37.81442711693971,144.98275030591668
3108,5265W,Unoccupied,"(-37.80467502461189, 144.95728923349193)",-37.80467502461189,144.95728923349193
2251,3944N,Unoccupied,"(-37.812321764801254, 144.95417995459024)",-37.812321764801254,144.95417995459024
5867,C9170,Present,"(-37.79845224001575, 144.96520917346135)",-37.79845224001575,144.96520917346135
5360,8901W,Unoccupied,"(-37.82413759354036, 144.96206878558004)",-37.82413759354036,144.96206878558004
8126,15152N,Unoccupied,"(-37.81666435391564, 144.9814410070728)",-37.81666435391564,144.9814410070728
3633,7584N,Unoccupied,"(-37.80559174454697, 144.95422564230262)",-37.80559174454697,144.95422564230262
5505,11943W,Unoccupied,"(-37.81525340642786, 144.9826094509918)",-37.81525340642786,144.9826094509918
